geo_name,geo_id,pop_2016,adult_obesity_2017,poverty_rate_2016,high_school_graduation_2017,unemployment_2017,violent_crime_2017,age,median_property_value_2016
"Ida County, IA",05000US19093,36715,0.282,0.110272780034823,0.964,0.031,116.69,33.3,118600
"Iowa County, IA",05000US19095,17662,0.307,0.098351442487823,0.933,0.034,110.35,33.3,110700
"Jackson County, IA",05000US19097,142006,0.331,0.137918486171761,0.909,0.041,61.33,33.3,202400
"Jasper County, IA",05000US19099,20481,0.322,0.092708572741899,0.925,0.038,191.84,33.3,130300
"Jefferson County, IA",05000US19101,10234,0.275,0.155769828926905,0.866,0.037,75.01,33.3,79500
"Johnson County, IA",05000US19103,15226,0.23,0.178812602358642,0.928,0.026,267.09,33.3,95800
"Jones County, IA",05000US19105,35172,0.376,0.106347380529123,0.929,0.041,,33.3,88100
"Keokuk County, IA",05000US19107,218076,0.299,0.128431275393915,,0.042,118.04,33.3,148600
"Kossuth County, IA",05000US19109,11251,0.327,0.097374765604072,0.925,0.028,128.02,33.3,102400
"Lee County, IA",05000US19111,8700,0.319,0.16395596694601,0.884,0.053,498.58,33.3,84700
"Linn County, IA",05000US19113,11730,0.31,0.093674435234233,0.887,0.037,214.02,33.3,118900
"Louisa County, IA",05000US19115,15661,0.374,0.125541125541126,0.89,0.037,100.07,33.3,163000
"Lucas County, IA",05000US19117,22324,0.338,0.106246351430239,0.975,0.035,246.7,33.3,109100
"Lyon County, IA",05000US19119,33197,0.319,0.058350622406639,,0.02,192.48,33.3,144800
"Madison County, IA",05000US19121,40735,0.342,0.068304063249303,0.971,0.038,122.26,33.3,104600
"Mahaska County, IA",05000US19123,14841,0.319,0.138856852885547,0.87,0.039,249.24,33.3,154200
"Marion County, IA",05000US19125,10757,0.331,0.098547783626102,0.926,0.032,254.87,33.3,110500
"Marshall County, IA",05000US19127,9013,0.347,0.10745674784054,0.888,0.05,407.08,33.3,80100
"Mills County, IA",05000US19129,7964,0.347,0.082307060755337,0.929,0.04,315.18,33.4,93400
"Mitchell County, IA",05000US19131,10380,0.303,0.092196559262428,0.964,0.028,51.92,33.4,80700
"Monona County, IA",05000US19133,42949,0.328,0.144675531310376,,0.043,153.66,33.4,126600
"Monroe County, IA",05000US19135,14055,0.324,0.132392559332906,0.975,0.043,127.91,33.4,107800
"Montgomery County, IA",05000US19137,6154,0.376,0.150595882990249,0.899,0.035,273.75,33.4,85900
"Muscatine County, IA",05000US19139,15552,0.342,0.114010304138275,0.854,0.038,428.03,33.4,85800
